gene,oncoKB_Oncogene_TSG
IL3,Oncogene
ITK,Unkown
KBTBD4,Unkown
KDSR,Unkown
KIF5B,Unkown
KLF5,Oncogene
KLHL6,Unkown
KSR2,Oncogene
LASP1,Unkown
LEF1,Unkown
LPP,Unkown
LRP1B,Unkown
LTB,Oncogene
LYL1,Unkown
MAD2L2,Oncogene
MGAM,Oncogene
MLF1,Unkown
MLLT3,Unkown
MLLT6,Unkown
MN1,Unkown
MOB3B,TSG
MPEG1,Unkown
MRTFA,Unkown
MSN,Unkown
MUC1,Unkown
MYH11,Unkown
MYH9,Unkown
NADK,Oncogene
NCOA2,Unkown
NDRG1,Unkown
NFE2,Oncogene
NFKB2,Unkown
NIN,Unkown
NRG1,Oncogene
NUMA1,Unkown
NUP214,Unkown
NUTM2A,Unkown
PAFAH1B2,Unkown
PAX3,Unkown
PAX7,Unkown
PAX8,Oncogene
PBX1,Unkown
PCM1,Unkown
PDE4DIP,Unkown
PDK1,Unkown
PDS5B,TSG
PER1,Unkown
PGBD5,Oncogene
PICALM,Unkown
PIGA,TSG
PLAG1,Unkown
PML,Unkown
POU2AF1,Unkown
PPP2R2A,TSG
PRDM16,Unkown
PRKACA,Oncogene
PRRX1,Unkown
PSIP1,Unkown
PTPN1,Oncogene
PTPRO,Unkown
QKI,Unkown
RABEP1,Unkown
RAP1GDS1,Unkown
RELN,Unkown
REST,TSG
RHOH,Unkown
RNF213,Unkown
ROBO1,TSG
RPL22,Unkown
RPN1,Unkown
RSPO2,Unkown
SAMHD1,TSG
SCG5,Oncogene
SDC4,Unkown
SERPINB3,Oncogene
SERPINB4,Unkown
SET,Unkown
SETD1A,Oncogene
SETD1B,Unkown
SETD3,Unkown
SETD4,Unkown
SETD5,Unkown
SETD6,Unkown
SETD7,Unkown
SETDB2,TSG
SH3GL1,Unkown
SLC34A2,Unkown
SLFN11,TSG
SMARCA2,TSG
SMG1,TSG
SOCS3,TSG
SP140,TSG
SPRTN,TSG
SRSF3,Unkown
SSX1,Unkown
SSX2,Unkown
SSX4,Unkown
STAG1,TSG
TAF15,Unkown
TAL2,Unkown
TET3,TSG
TFG,Unkown
TNFRSF17,Unkown
TPM3,Unkown
TPM4,Unkown
TRA,Oncogene
TRB,Oncogene
TRD,Oncogene
TRG,Oncogene
TRIM24,Unkown
TRIP11,Unkown
TRIP13,Oncogene
USP6,Unkown
VAV1,Oncogene
VAV2,Oncogene
WIF1,TSG
ZBTB16,Unkown
ZMYM2,Unkown
ZNF217,Unkown
ZNF384,Unkown
ZNF521,Unkown
ZNF703,Unkown
ZNRF3,TSG
ACKR3,Unkown
ACSL3,Unkown
ACSL6,Unkown
ACTB,Unkown
ACVR2A,Unkown
ADGRA2,Unkown
AFF3,Unkown
AJUBA,TSG
APH1A,Unkown
APOBEC3B,Unkown
ASMTL,Unkown
ASPSCR1,Unkown
ATG5,Unkown
ATP1A1,Unkown
ATP2B3,Unkown
BAX,Unkown
BCL9L,Unkown
BRD3,Unkown
BRSK1,Unkown
BTLA,Unkown
BUB1B,Unkown
CACNA1D,Unkown
CAD,Unkown
CANT1,Unkown
CBLB,Unkown
CBLC,Unkown
CCDC6,Unkown
CCN6,Unkown
CCNB1IP1,Unkown
CCNB3,Oncogene
CCT6B,Unkown
CD36,Unkown
CDH11,Unkown
CHCHD7,Unkown
CHD2,Unkown
CHD4,Unkown
CHIC2,Unkown
CHN1,Unkown
CILK1,Unkown
CKS1B,Unkown
CLIP1,Unkown
CLP1,Unkown
CNBP,Unkown
CNOT3,Unkown
COL2A1,Unkown
CPS1,Unkown
CRTC1,Unkown
CRTC3,Unkown
CSF1,Unkown
CUL4A,Unkown
CYP17A1,Unkown
DAZAP1,Unkown
DCTN1,Unkown
DDB2,Unkown
DDR1,Unkown
DDX4,Oncogene
DDX41,TSG
DDX5,Unkown
DKK1,Unkown
DKK2,Unkown
DKK3,Unkown
DKK4,Unkown
DUSP2,Unkown
DUSP9,Unkown
EIF3E,Unkown
ELK4,Unkown
ELN,Unkown
ELP2,Unkown
EPHB4,Unkown
ERC1,Unkown
ETS1,Unkown
EXOSC6,Unkown
EXT1,Unkown
EXT2,Unkown
FAF1,Unkown
FAT4,Unkown
FBXO31,Unkown
FES,Unkown
FGF12,Unkown
FIP1L1,Unkown
FLYWCH1,Unkown
FNBP1,Unkown
FRS2,Unkown
GABRA6,Unkown
GADD45B,Unkown
GATA4,Unkown
GATA6,Unkown
GMPS,Unkown
GOLGA5,Unkown
GOPC,Unkown
GPC3,Unkown
GRM3,Unkown
GTSE1,Unkown
H3C15,Unkown
H3P6,Unkown
HIRA,Unkown
HNRNPA2B1,Unkown
HOOK3,Unkown
HOXA3,Unkown
HSD3B1,Unkown
IKBKB,Unkown
IKZF2,Unkown
IL2,Unkown
IL6ST,Unkown
INPP5D,Unkown
IRF2,Unkown
IRS4,Unkown
JAZF1,Unkown
KAT6B,Unkown
KCNJ5,Unkown
KDM2B,Unkown
KDM4C,Unkown
KEL,Unkown
KLF2,TSG
KLF3,TSG
KLF6,Unkown
KLK2,Unkown
KNL1,Unkown
KTN1,Unkown
LARP4B,Unkown
LCP1,Unkown
LIFR,Unkown
LMNA,Unkown
LRIG3,Unkown
LRP5,Oncogene
LRP6,Oncogene
LRRK2,Unkown
LTK,Unkown
MAGED1,Unkown
MAML2,Unkown
MAP3K6,Unkown
MAP3K7,Unkown
MBD6,TSG
MDS2,Unkown
MEF2C,Unkown
MEF2D,Oncogene
MERTK,Unkown
MIB1,Unkown
MIDEAS,TSG
MKI67,Unkown
MKNK1,Unkown
MLLT11,Unkown
MNX1,Unkown
MTCP1,Unkown
MYO18A,Unkown
MYO5A,Unkown
NAB2,Unkown
NACA,Unkown
NBEAP1,Unkown
NCOA1,Unkown
NCOA4,Unkown
NFATC2,Unkown
NFIB,Unkown
NFKBIE,Unkown
NOD1,Unkown
NONO,Unkown
NUTM2B,Unkown
OLIG2,Unkown
OMD,Unkown
PAG1,Unkown
PAK3,Unkown
PARP2,Unkown
PARP3,Unkown
PASK,Unkown
PATZ1,Unkown
PC,Unkown
PCLO,Unkown
PCSK7,Unkown
PDCD11,Unkown
PHF1,Unkown
PIK3C2B,Unkown
POLQ,Unkown
POU5F1,Unkown
PPFIBP1,Unkown
PPP1CB,Unkown
PRCC,Unkown
PRF1,Unkown
PRKDC,Unkown
PRSS1,Unkown
PRSS8,Unkown
PTK6,Unkown
PTK7,Unkown
PTPN13,Unkown
PTPN6,Unkown
PTPRB,Unkown
PTPRC,Unkown
PTPRK,Unkown
RALGDS,Unkown
RANBP2,Unkown
RASGEF1A,Unkown
RMI2,Unkown
RNF217-AS1,Unkown
RPL10,Unkown
RPL5,Unkown
RSPO3,Unkown
RUNX2,Unkown
S1PR2,Unkown
SALL4,Unkown
SBDS,Unkown
SEC31A,Unkown
SEPTIN5,Unkown
SEPTIN6,Unkown
SEPTIN9,Unkown
SERP2,Unkown
SFPQ,Unkown
SFRP1,TSG
SFRP2,Oncogene
SFRP4,Unkown
SIX1,Unkown
SLC1A2,Unkown
SLC45A3,Unkown
SMARCA1,Unkown
SNCAIP,Unkown
SND1,Unkown
SNX29,Unkown
SOCS2,Unkown
SOX10,Unkown
SS18L1,Unkown
STAT1,Unkown
STAT2,Unkown
STAT4,Unkown
STIL,Unkown
STRN,Unkown
TAF1,Unkown
TCEA1,Unkown
TCF12,Unkown
TCL1B,Oncogene
TEC,Unkown
TERC,Unkown
TFEB,Unkown
TFPT,Unkown
TFRC,Unkown
TIPARP,Unkown
TLE1,Unkown
TLE2,Unkown
TLE3,Unkown
TLE4,Unkown
TLL2,Unkown
TMEM30A,Unkown
TMSB4XP8,Unkown
TNFRSF11A,Unkown
TPR,Unkown
TRIM27,Unkown
TRIM33,Unkown
TRRAP,Unkown
TTL,Unkown
TUSC3,Unkown
TYRO3,Unkown
WAS,Unkown
WDCP,Unkown
WDR90,Unkown
WRN,Unkown
XPA,Unkown
XPC,Unkown
YPEL5,Unkown
YWHAE,Unkown
YY1,Oncogene
YY1AP1,Unkown
ZBTB20,Oncogene
ZBTB7A,Unkown
ZFP36L1,TSG
ZMYM3,Unkown
ZNF24,Unkown
ZNF331,Unkown
ZNF750,TSG
A1CF,oncogene
AKAP9,fusion
ALDH2,fusion
ANK1,
ARHGAP5,oncogene
ARHGEF10,TSG
ARHGEF10L,TSG
BAZ1A,TSG
BCL2L12,oncogene
BCLAF1,
BIRC6,"oncogene, fusion"
BMP5,
C15orf65,fusion
CARS,"TSG, fusion"
CASP3,TSG
CASP9,TSG
CCNC,TSG
CCR4,oncogene
CCR7,oncogene
CD209,
CDH10,TSG
CDH17,oncogene
CEP89,fusion
CHST11,"oncogene, fusion"
CNBD1,
CNTNAP2,TSG
COL3A1,fusion
COX6C,fusion
CPEB3,TSG
CRNKL1,
CSMD3,TSG
CTNNA2,oncogene
CTNND1,
CTNND2,oncogene
CYP2C8,
DCAF12L2,
DCC,
DGCR8,oncogene
DUX4L1,fusion
FAM131B,fusion
FAM135B,
FAM47C,
FAT3,
FBLN2,TSG
FEN1,TSG
FGFR1OP,fusion
FKBP9,
FLNA,
FOXR1,"oncogene, fusion"
GPC5,TSG
H3F3A,oncogene
H3F3B,oncogene
HIST1H3B,oncogene
HIST1H4I,fusion
HMGN2P46,fusion
IGF2BP2,TSG
ISX,
ITGAV,
KAT7,oncogene
KIAA1549,fusion
LEPROTL1,TSG
LHFPL6,fusion
LSM14A,fusion
MACC1,oncogene
MALAT1,"oncogene, TSG, fusion"
MB21D2,
MGMT,TSG
MUC16,oncogene
MUC4,oncogene
N4BP2,TSG
NBEA,
NCKIPSD,fusion
NUTM2D,fusion
PABPC1,"oncogene, TSG"
POLG,TSG
PRDM2,TSG
PRKCB,
PRPF40B,
PWWP2A,fusion
RAD17,TSG
RFWD3,TSG
RGPD3,
RGS7,
ROBO2,TSG
S100A7,fusion
5-Sep,fusion
6-Sep,fusion
9-Sep,fusion
SHTN1,fusion
SIRPA,TSG
SIX2,oncogene
SKI,oncogene
SOX21,TSG
SPECC1,fusion
SRGAP3,fusion
THRAP3,fusion
TNC,oncogene
USP44,TSG
VTI1A,fusion
WNK2,TSG
ZCCHC8,fusion
ZEB1,oncogene
ZNF429,
ZNF479,
FAM46C,IntOGen_Drive
HSPG2,IntOGen_Drive
PRKD2,IntOGen_Drive
RPS6KA3,IntOGen_Drive
FN1,IntOGen_Drive
ATF7IP,IntOGen_Drive
FAM186A,IntOGen_Drive
PARP4,IntOGen_Drive
NIPBL,IntOGen_Drive
BRD7,IntOGen_Drive
FOXA2,IntOGen_Drive
CR1,IntOGen_Drive
ZNF626,IntOGen_Drive
CNOT9,IntOGen_Drive
FAM174B,IntOGen_Drive
PTPN14,IntOGen_Drive
NEFH,IntOGen_Drive
ZFX,IntOGen_Drive
POU2F2,IntOGen_Drive
ZNF208,IntOGen_Drive
DCSTAMP,IntOGen_Drive
PRKCD,IntOGen_Drive
TRIM49C,IntOGen_Drive
ZNF721,IntOGen_Drive
ZNF93,IntOGen_Drive
ABCB1,IntOGen_Drive
ZNF680,IntOGen_Drive
IRAK1,IntOGen_Drive
MAP2K7,IntOGen_Drive
EFTUD2,IntOGen_Drive
FBN2,IntOGen_Drive
RPS3A,IntOGen_Drive
TGIF1,IntOGen_Drive
CASZ1,IntOGen_Drive
SOHLH2,IntOGen_Drive
LDB1,IntOGen_Drive
RHPN2,IntOGen_Drive
DUSP16,IntOGen_Drive
DHX9,IntOGen_Drive
EPHA2,IntOGen_Drive
FOXD4L1,IntOGen_Drive
ING1,IntOGen_Drive
TCF4,IntOGen_Drive
TLL1,IntOGen_Drive
EGR2,IntOGen_Drive
RBM39,IntOGen_Drive
HERC2,IntOGen_Drive
KDM3B,IntOGen_Drive
PTMA,IntOGen_Drive
PCMTD1,IntOGen_Drive
ZXDB,IntOGen_Drive
NXF1,IntOGen_Drive
TFAP4,IntOGen_Drive
TCIRG1,IntOGen_Drive
GNAI2,IntOGen_Drive
NPEPPS,IntOGen_Drive
BMPR2,IntOGen_Drive
PPP3CA,IntOGen_Drive
LPAR4,IntOGen_Drive
SUSD2,IntOGen_Drive
PPT2,IntOGen_Drive
INO80,IntOGen_Drive
TOP2A,IntOGen_Drive
RBFOX2,IntOGen_Drive
PRR14,IntOGen_Drive
KLHL36,IntOGen_Drive
NKTR,IntOGen_Drive
EHD2,IntOGen_Drive
IFNAR1,IntOGen_Drive
PAK2,IntOGen_Drive
ZNF148,IntOGen_Drive
PCDH17,IntOGen_Drive
RELA,IntOGen_Drive
ZBTB7B,IntOGen_Drive
NT5C3A,IntOGen_Drive
NRK,IntOGen_Drive
RIPK1,IntOGen_Drive
FAT2,IntOGen_Drive
ENPEP,IntOGen_Drive
ZCRB1,IntOGen_Drive
RASA2,IntOGen_Drive
PDPR,IntOGen_Drive
RBM38,IntOGen_Drive
RNF6,IntOGen_Drive
RGL3,IntOGen_Drive
MCM3AP,IntOGen_Drive
RBFOX1,IntOGen_Drive
ZNF780A,IntOGen_Drive
LOX,IntOGen_Drive
WNK4,IntOGen_Drive
HTRA2,IntOGen_Drive
NRP1,IntOGen_Drive
UGT2B17,IntOGen_Drive
PEG3,IntOGen_Drive
FBLN1,IntOGen_Drive
ATG7,IntOGen_Drive
WDR45,IntOGen_Drive
MAP2,IntOGen_Drive
SIN3A,IntOGen_Drive
SFMBT2,IntOGen_Drive
MARK2,IntOGen_Drive
RSPH10B2,IntOGen_Drive
SATB1,IntOGen_Drive
KIFC1,IntOGen_Drive
LY75-CD302,IntOGen_Drive
ADGRB1,IntOGen_Drive
NPRL2,IntOGen_Drive
FGD5,IntOGen_Drive
USP9X,IntOGen_Drive
UBE2A,IntOGen_Drive
ZNF165,IntOGen_Drive
PLCB4,IntOGen_Drive
UBE2D2,IntOGen_Drive
ESRRA,IntOGen_Drive
ZNF814,IntOGen_Drive